,LEFT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,RIGHT_ELBOW
0,"x: 0.6455690860748291
y: 0.4825315475463867
z: -1.207632064819336
visibility: 0.9999229907989502
","x: 0.6733952164649963
y: 0.4160618782043457
z: -1.1405105590820312
visibility: 0.999828577041626
","x: 0.6888157725334167
y: 0.4196404218673706
z: -1.1402620077133179
visibility: 0.9998394250869751
","x: 0.7057053446769714
y: 0.424306184053421
z: -1.1404849290847778
visibility: 0.9997995495796204
"
0,"x: 0.43842774629592896
y: 0.4435160458087921
z: -1.4037827253341675
visibility: 0.9997934699058533
","x: 0.4643835127353668
y: 0.37217533588409424
z: -1.3357306718826294
visibility: 0.9993477463722229
","x: 0.48247450590133667
y: 0.3734307289123535
z: -1.3355447053909302
visibility: 0.9995881915092468
","x: 0.4995992183685303
y: 0.3758951425552368
z: -1.3358919620513916
visibility: 0.9993745684623718
"
